Country,Predicted_Percentage
ROC,14.456987299590601
USA,11.198663248167065
CHN,9.834445574761784
GER,8.479681684769949
JPN,5.359183803414121
AUS,3.7178605269415916
ITA,3.5271316555712113
KOR,3.1034974802844606
HUN,2.919759547760879
ROU,2.8864982284811784
CUB,2.303611154858082
POL,1.829300745999972
NED,1.7636117586470996
BUL,1.7297099996423335
KEN,1.4559274869984242
UKR,1.342695258975612
EUN,1.3316270273744866
CAN,1.270515567888328
NZL,1.2256583850723106
TUR,1.0679317063237195
GBR,1.0013548414705054
JAM,0.9983151612946479
ESP,0.9631440535128074
TCH,0.9197893894180998
ETH,0.8359994783068037
UZB,0.8033324118046892
FRA,0.7397298629363013
IRI,0.7318653184307305
KAZ,0.7117210282237483
CZE,0.6945935009657742
NOR,0.5584317939675301
PRK,0.5531940200056092
GEO,0.5527482309452288
BRA,0.4835501848295329
CRO,0.47190650748495533
BLR,0.4235449586113324
YUG,0.38419503567344576
SVK,0.37346808076828636
IRL,0.37204354621754
SWE,0.3315189049194208
THA,0.32287958899060554
AZE,0.3188456063336789
MAR,0.2956104731635354
BAH,0.27609452275579416
RSA,0.23984533006012332
SLO,0.23326357727997707
MEX,0.22152737278167572
ALG,0.22103609635624427
UGA,0.21453581305626215
COL,0.1909565778984139
POR,0.18016785372009292
LTU,0.17041333484161542
DOM,0.16211867929234713
HKG,0.15414611856994556
TUN,0.14967460850703476
SRB,0.14539628629339918
BRN,0.14539628629339918
TPE,0.14139143981062807
KOS,0.13738659332785694
ECU,0.1342011569530454
CHI,0.12211296982592759
VEN,0.1131002678599775
LAT,0.10764398977070704
EST,0.10376472642970279
TTO,0.10367612496981794
QAT,0.09742428373626892
ARG,0.09090616433795806
PUR,0.08867445145972251
IND,0.08528648251519176
MGL,0.07314868129411456
ARM,0.07273433632559341
ZIM,0.07127233138456829
CMR,0.07127233138456829
NGR,0.06571231630078181
LCA,0.05271698835090556
DMA,0.05271698835090556
BOT,0.05271698835090556
PAK,0.05271698835090556
INA,0.05271698835090556
GUA,0.05271698835090556
PHI,0.04871214186813446
BER,0.04871214186813446
EGY,0.0429201930758676
VIE,0.039962309591588044
IOA,0.039962309591588044
TJK,0.039962309591588044
SGP,0.039962309591588044
GRN,0.0381293595568733
PAN,0.03657434064705728
DEN,0.035491434562593814
UAE,0.03469799073751101
MOZ,0.032940289566776436
BDI,0.03277202673400536
SYR,0.03277202673400536
SCG,0.03277202673400536
CRC,0.03277202673400536
SUR,0.03113873288599649
PER,0.013082874632461343
URU,0.0
CIV,0.0
BEL,0.0
AUT,0.0
GRE,0.0
FIJ,0.0
FIN,0.0
SUI,0.0
HAI,0.0
ISR,0.0
ANZ,0.0
LUX,0.0
JOR,0.0
